Product ID,Category,Sub-Category,Supplier Name,Supplier Region,Lead Time (Days),Cost per Unit,Quality Score,Delivery Accuracy (%),Reliability Rating,Reorder Level,Max Order Qty,Min Order Qty,Avg Monthly Orders,Annual Supply Value,Contact Email
FUR-BO-10000065,Furniture,Bookcases,Delta Stationery,East,2,291.29,2.9,88.81,3,16,358,31,68,237692.64,delta@supplier.com
FUR-TA-10000066,Furniture,Tables,Delta Stationery,East,2,84.35,4.2,98.98,2,41,221,36,401,405892.2,delta@supplier.com
OFF-BI-10000067,Office Supplies,Binders,Omega Imports,South,9,455.17,2.2,91.77,7,49,682,40,40,218481.6,omega@supplier.com
TEC-MA-10000068,Technology,Machines,Alpha Furnishings,West,5,139.68,1.3,84.8,9,19,260,1,219,367079.04,alpha@supplier.com
OFF-LA-10000069,Office Supplies,Labels,Gamma Electronics,East,5,151.17,2.1,97.19,2,97,339,17,413,749198.52,gamma@supplier.com
TEC-MA-10000070,Technology,Machines,Beta Office Supplies,South,3,276.84,3.6,98.17,3,19,161,11,415,1378663.2,beta@supplier.com
OFF-AR-10000071,Office Supplies,Art,Delta Stationery,East,9,347.45,3.8,98.85,9,79,605,29,51,212639.4,delta@supplier.com
TEC-PH-10000072,Technology,Phones,Delta Stationery,North,6,22.67,1.9,93.49,10,85,121,49,354,96302.16,delta@supplier.com
OFF-PA-10000073,Office Supplies,Paper,Beta Office Supplies,South,10,329.24,4.7,83.63,10,65,750,32,56,221249.28,beta@supplier.com
OFF-AR-10000074,Office Supplies,Art,Delta Stationery,North,7,338.37,4.4,86.6,8,46,778,26,426,1729747.44,delta@supplier.com
TEC-PH-10000075,Technology,Phones,Delta Stationery,East,7,133.68,1.5,95.45,9,10,773,35,246,394623.36,delta@supplier.com
OFF-PA-10000076,Office Supplies,Paper,Beta Office Supplies,Central,7,315.09,3.0,88.84,1,36,373,36,77,291143.16,beta@supplier.com
OFF-LA-10000077,Office Supplies,Labels,Delta Stationery,East,2,486.84,3.4,84.79,3,49,664,1,292,1705887.36,delta@supplier.com
OFF-PA-10000078,Office Supplies,Paper,Beta Office Supplies,East,9,474.06,3.6,83.08,5,75,822,18,222,1262895.84,beta@supplier.com
OFF-LA-10000079,Office Supplies,Labels,Beta Office Supplies,South,10,80.87,1.8,91.99,3,18,382,50,414,401762.16,beta@supplier.com
OFF-AR-10000080,Office Supplies,Art,Omega Imports,North,2,148.59,2.2,91.74,8,29,557,35,257,458251.56,omega@supplier.com
OFF-AR-10000081,Office Supplies,Art,Omega Imports,Central,8,233.12,2.3,83.77,4,83,492,15,448,1253253.12,omega@supplier.com
OFF-PA-10000082,Office Supplies,Paper,Gamma Electronics,South,8,199.18,3.7,96.41,3,73,137,9,267,638172.72,gamma@supplier.com
TEC-AC-10000083,Technology,Accessories,Alpha Furnishings,South,3,267.72,2.8,94.45,7,93,258,5,250,803160.0,alpha@supplier.com
OFF-AR-10000084,Office Supplies,Art,Omega Imports,South,3,427.36,4.4,97.19,7,50,741,46,464,2379540.48,omega@supplier.com
OFF-PA-10000085,Office Supplies,Paper,Omega Imports,East,5,319.27,4.7,99.95,2,65,200,49,334,1279634.16,omega@supplier.com
TEC-PH-10000086,Technology,Phones,Delta Stationery,West,6,452.68,1.2,95.92,5,55,483,28,84,456301.44,delta@supplier.com
FUR-BO-10000087,Furniture,Bookcases,Delta Stationery,Central,4,93.29,1.3,97.42,10,97,346,32,477,533991.96,delta@supplier.com
TEC-PH-10000088,Technology,Phones,Beta Office Supplies,South,6,235.19,3.7,97.98,8,46,793,35,90,254005.2,beta@supplier.com
FUR-TA-10000089,Furniture,Tables,Gamma Electronics,Central,6,323.08,2.7,85.0,5,35,493,31,64,248125.44,gamma@supplier.com
FUR-TA-10000090,Furniture,Tables,Omega Imports,North,6,496.42,2.2,99.56,7,45,108,37,452,2692582.08,omega@supplier.com
TEC-MA-10000091,Technology,Machines,Alpha Furnishings,Central,9,418.09,4.6,95.51,4,87,921,23,122,612083.76,alpha@supplier.com
TEC-PH-10000092,Technology,Phones,Omega Imports,North,4,317.84,4.6,92.93,5,66,134,38,196,747559.68,omega@supplier.com
TEC-PH-10000093,Technology,Phones,Alpha Furnishings,North,7,376.27,1.7,82.64,9,56,643,33,477,2153769.48,alpha@supplier.com
OFF-BI-10000094,Office Supplies,Binders,Gamma Electronics,South,6,375.81,2.4,82.3,2,28,872,15,450,2029374.0,gamma@supplier.com
TEC-MA-10000095,Technology,Machines,Delta Stationery,Central,7,54.25,2.6,85.29,2,68,477,44,393,255843.0,delta@supplier.com
TEC-AC-10000096,Technology,Accessories,Omega Imports,South,7,63.09,1.9,80.5,9,51,724,15,341,258164.28,omega@supplier.com
FUR-BO-10000097,Furniture,Bookcases,Delta Stationery,North,8,67.17,1.2,80.74,8,24,199,16,464,374002.56,delta@supplier.com
TEC-PH-10000098,Technology,Phones,Delta Stationery,South,7,338.54,4.0,98.92,7,85,860,47,89,361560.72,delta@supplier.com
OFF-PA-10000099,Office Supplies,Paper,Delta Stationery,Central,8,470.14,2.1,93.81,4,66,555,16,447,2521830.96,delta@supplier.com
OFF-PA-10000100,Office Supplies,Paper,Gamma Electronics,Central,7,39.67,2.1,99.36,8,21,778,14,338,160901.52,gamma@supplier.com
TEC-MA-10000101,Technology,Machines,Alpha Furnishings,East,7,129.35,1.5,91.29,2,80,312,38,120,186264.0,alpha@supplier.com
FUR-TA-10000102,Furniture,Tables,Beta Office Supplies,Central,2,145.86,4.9,99.75,9,42,917,12,66,115521.12,beta@supplier.com
TEC-PH-10000103,Technology,Phones,Beta Office Supplies,East,7,397.09,2.0,86.48,3,43,153,9,389,1853616.12,beta@supplier.com
OFF-PA-10000104,Office Supplies,Paper,Alpha Furnishings,South,9,391.23,3.1,82.18,9,38,729,3,382,1793398.32,alpha@supplier.com
TEC-MA-10000105,Technology,Machines,Gamma Electronics,South,2,39.8,2.9,88.03,2,72,829,29,47,22447.2,gamma@supplier.com
FUR-TA-10000106,Furniture,Tables,Omega Imports,West,3,71.83,3.5,91.71,6,58,711,34,160,137913.6,omega@supplier.com
OFF-LA-10000107,Office Supplies,Labels,Alpha Furnishings,East,10,363.21,1.9,89.03,4,62,447,30,214,932723.28,alpha@supplier.com
OFF-PA-10000108,Office Supplies,Paper,Gamma Electronics,South,7,335.9,2.5,83.05,8,18,193,6,57,229755.6,gamma@supplier.com
OFF-PA-10000109,Office Supplies,Paper,Gamma Electronics,West,10,39.39,4.8,91.23,2,62,462,43,491,232085.88,gamma@supplier.com
OFF-PA-10000110,Office Supplies,Paper,Gamma Electronics,Central,6,182.31,3.3,84.25,8,38,967,7,189,413479.08,gamma@supplier.com
TEC-AC-10000111,Technology,Accessories,Alpha Furnishings,North,5,405.54,4.4,99.49,10,88,791,42,295,1435611.6,alpha@supplier.com
FUR-BO-10000112,Furniture,Bookcases,Gamma Electronics,East,4,143.9,4.0,98.43,6,10,285,10,299,516313.2,gamma@supplier.com
TEC-AC-10000113,Technology,Accessories,Alpha Furnishings,West,2,54.96,3.1,87.52,8,53,261,24,169,111458.88,alpha@supplier.com
TEC-AC-10000114,Technology,Accessories,Omega Imports,Central,3,442.84,1.6,95.09,1,96,183,18,236,1254122.88,omega@supplier.com
TEC-AC-10000115,Technology,Accessories,Delta Stationery,Central,9,212.95,1.9,90.25,6,65,213,19,357,912277.8,delta@supplier.com
TEC-MA-10000116,Technology,Machines,Delta Stationery,Central,6,32.25,2.6,91.99,1,36,408,14,402,155574.0,delta@supplier.com
FUR-TA-10000117,Furniture,Tables,Gamma Electronics,North,3,13.79,4.0,83.51,7,78,820,15,266,44017.68,gamma@supplier.com
TEC-MA-10000118,Technology,Machines,Gamma Electronics,East,8,432.26,1.2,80.37,2,50,689,28,303,1571697.36,gamma@supplier.com
OFF-LA-10000119,Office Supplies,Labels,Gamma Electronics,East,8,20.22,2.3,96.03,10,68,951,45,480,116467.2,gamma@supplier.com
OFF-PA-10000120,Office Supplies,Paper,Delta Stationery,East,5,223.48,2.6,81.57,5,53,326,22,408,1094158.08,delta@supplier.com
FUR-CH-10000121,Furniture,Chairs,Omega Imports,East,10,259.88,4.6,86.99,3,40,205,10,141,439716.96,omega@supplier.com
FUR-CH-10000122,Furniture,Chairs,Omega Imports,West,3,96.8,4.1,89.88,10,84,559,44,483,561052.8,omega@supplier.com
TEC-MA-10000123,Technology,Machines,Omega Imports,North,7,83.97,1.3,88.84,5,45,705,4,190,191451.6,omega@supplier.com
TEC-PH-10000124,Technology,Phones,Gamma Electronics,South,9,28.43,2.5,85.74,2,88,708,33,206,70278.96,gamma@supplier.com
OFF-PA-10000125,Office Supplies,Paper,Delta Stationery,Central,5,167.55,2.9,83.02,1,67,205,22,375,753975.0,delta@supplier.com
FUR-BO-10000126,Furniture,Bookcases,Beta Office Supplies,East,5,356.73,5.0,90.48,10,30,472,24,479,2050484.04,beta@supplier.com
OFF-LA-10000127,Office Supplies,Labels,Delta Stationery,North,2,396.72,3.6,81.32,2,81,794,25,155,737899.2,delta@supplier.com
OFF-BI-10000128,Office Supplies,Binders,Gamma Electronics,East,4,459.21,2.2,93.12,7,26,709,46,490,2700154.8,gamma@supplier.com
FUR-TA-10000129,Furniture,Tables,Omega Imports,South,7,408.46,3.7,96.58,9,21,761,43,226,1107743.52,omega@supplier.com
TEC-AC-10000130,Technology,Accessories,Alpha Furnishings,North,6,98.33,1.9,98.95,8,34,331,9,89,105016.44,alpha@supplier.com
FUR-TA-10000131,Furniture,Tables,Alpha Furnishings,Central,10,419.21,4.5,80.75,6,89,234,39,202,1016165.04,alpha@supplier.com
FUR-CH-10000132,Furniture,Chairs,Beta Office Supplies,Central,4,363.38,1.2,87.29,4,66,725,19,395,1722421.2,beta@supplier.com
TEC-AC-10000133,Technology,Accessories,Beta Office Supplies,Central,5,161.64,4.2,89.38,4,57,794,37,235,455824.8,beta@supplier.com
OFF-AR-10000134,Office Supplies,Art,Delta Stationery,Central,10,215.14,1.6,83.99,10,27,993,17,36,92940.48,delta@supplier.com
TEC-AC-10000135,Technology,Accessories,Gamma Electronics,Central,3,358.59,3.1,82.49,2,30,379,29,473,2035356.84,gamma@supplier.com
TEC-PH-10000136,Technology,Phones,Delta Stationery,East,5,410.18,4.5,98.61,7,16,505,33,201,989354.16,delta@supplier.com
FUR-TA-10000137,Furniture,Tables,Alpha Furnishings,North,5,23.81,4.7,96.78,6,28,240,3,156,44572.32,alpha@supplier.com
OFF-BI-10000138,Office Supplies,Binders,Delta Stationery,South,2,453.87,1.1,84.31,3,80,844,39,280,1525003.2,delta@supplier.com
OFF-PA-10000139,Office Supplies,Paper,Gamma Electronics,West,6,69.71,2.0,92.78,10,68,164,8,438,366395.76,gamma@supplier.com
OFF-PA-10000140,Office Supplies,Paper,Omega Imports,Central,5,362.09,2.2,80.03,6,40,684,27,105,456233.4,omega@supplier.com
TEC-MA-10000141,Technology,Machines,Alpha Furnishings,Central,7,43.16,3.1,90.15,9,80,120,25,457,236689.44,alpha@supplier.com
OFF-PA-10000142,Office Supplies,Paper,Delta Stationery,North,6,376.19,2.4,81.35,4,94,743,7,405,1828283.4,delta@supplier.com
TEC-MA-10000143,Technology,Machines,Gamma Electronics,West,2,182.63,2.4,92.86,8,99,590,41,103,225730.68,gamma@supplier.com
FUR-CH-10000144,Furniture,Chairs,Delta Stationery,East,6,108.78,4.2,97.72,6,49,627,26,427,557388.72,delta@supplier.com
TEC-AC-10000145,Technology,Accessories,Gamma Electronics,East,5,150.19,4.4,80.96,6,44,227,24,233,419931.24,gamma@supplier.com
OFF-LA-10000146,Office Supplies,Labels,Delta Stationery,North,4,253.14,3.0,98.49,9,44,920,6,382,1160393.76,delta@supplier.com
OFF-PA-10000147,Office Supplies,Paper,Delta Stationery,Central,4,277.28,2.3,81.6,5,49,556,39,377,1254414.72,delta@supplier.com
OFF-BI-10000148,Office Supplies,Binders,Delta Stationery,North,9,30.75,4.5,87.05,7,45,754,4,48,17712.0,delta@supplier.com
TEC-MA-10000149,Technology,Machines,Delta Stationery,North,10,402.54,3.7,99.06,3,87,794,29,27,130422.96,delta@supplier.com
FUR-CH-10000150,Furniture,Chairs,Beta Office Supplies,North,7,197.6,3.3,92.1,8,57,480,29,400,948480.0,beta@supplier.com
FUR-BO-10000151,Furniture,Bookcases,Beta Office Supplies,Central,7,205.04,3.6,84.99,2,13,853,12,265,652027.2,beta@supplier.com
TEC-AC-10000152,Technology,Accessories,Omega Imports,East,6,389.73,3.8,84.29,10,46,810,32,112,523797.12,omega@supplier.com
FUR-CH-10000153,Furniture,Chairs,Alpha Furnishings,South,4,450.35,2.8,81.76,6,95,455,46,43,232380.6,alpha@supplier.com
TEC-MA-10000154,Technology,Machines,Gamma Electronics,North,4,358.79,4.7,92.75,6,75,329,8,112,482213.76,gamma@supplier.com
FUR-CH-10000155,Furniture,Chairs,Delta Stationery,East,7,281.47,2.5,96.07,9,26,726,6,43,145238.52,delta@supplier.com
OFF-LA-10000156,Office Supplies,Labels,Delta Stationery,Central,8,386.89,4.3,81.48,6,92,175,29,248,1151384.64,delta@supplier.com
TEC-MA-10000157,Technology,Machines,Gamma Electronics,West,10,323.5,1.7,99.33,7,74,989,4,435,1688670.0,gamma@supplier.com
FUR-BO-10000158,Furniture,Bookcases,Beta Office Supplies,North,4,89.36,4.7,84.51,9,46,966,6,138,147980.16,beta@supplier.com
FUR-BO-10000159,Furniture,Bookcases,Omega Imports,North,4,316.26,3.5,81.87,3,85,694,10,97,368126.64,omega@supplier.com
TEC-MA-10000160,Technology,Machines,Omega Imports,North,2,414.37,1.1,80.91,10,43,766,14,402,1998920.88,omega@supplier.com
TEC-AC-10000161,Technology,Accessories,Omega Imports,East,9,445.61,3.2,92.84,5,71,350,44,217,1160368.44,omega@supplier.com
OFF-LA-10000162,Office Supplies,Labels,Alpha Furnishings,East,4,225.41,2.9,84.08,10,28,420,46,173,467951.16,alpha@supplier.com
TEC-AC-10000163,Technology,Accessories,Delta Stationery,West,7,262.34,1.4,84.83,2,44,560,16,82,258142.56,delta@supplier.com
FUR-CH-10000164,Furniture,Chairs,Gamma Electronics,South,8,131.65,4.5,83.19,6,83,838,21,107,169038.6,gamma@supplier.com
FUR-TA-10000165,Furniture,Tables,Omega Imports,South,9,440.75,3.0,81.8,7,74,568,16,120,634680.0,omega@supplier.com
TEC-AC-10000166,Technology,Accessories,Alpha Furnishings,East,6,252.5,4.5,93.09,8,46,649,1,443,1342290.0,alpha@supplier.com
FUR-TA-10000167,Furniture,Tables,Beta Office Supplies,North,7,384.29,2.5,88.01,10,81,299,24,293,1351163.64,beta@supplier.com
OFF-PA-10000168,Office Supplies,Paper,Delta Stationery,Central,9,384.56,2.1,99.78,10,25,231,7,211,973705.92,delta@supplier.com
OFF-AR-10000169,Office Supplies,Art,Omega Imports,North,4,107.54,3.0,90.0,1,14,240,46,180,232286.4,omega@supplier.com
OFF-LA-10000170,Office Supplies,Labels,Beta Office Supplies,Central,10,78.49,4.7,86.37,7,88,857,20,313,294808.44,beta@supplier.com
OFF-LA-10000171,Office Supplies,Labels,Omega Imports,North,9,409.72,2.5,93.48,7,84,415,47,456,2241987.84,omega@supplier.com
TEC-MA-10000172,Technology,Machines,Alpha Furnishings,Central,9,140.11,3.6,99.44,10,83,333,47,36,60527.52,alpha@supplier.com
TEC-AC-10000173,Technology,Accessories,Beta Office Supplies,Central,8,82.41,3.7,80.63,2,34,119,29,170,168116.4,beta@supplier.com
OFF-BI-10000174,Office Supplies,Binders,Delta Stationery,West,8,255.89,3.4,89.43,1,100,241,34,116,356198.88,delta@supplier.com
TEC-AC-10000175,Technology,Accessories,Delta Stationery,Central,8,163.74,1.7,98.24,6,79,462,44,405,795776.4,delta@supplier.com
TEC-MA-10000176,Technology,Machines,Gamma Electronics,Central,9,104.21,2.0,91.16,4,48,889,19,370,462692.4,gamma@supplier.com
FUR-BO-10000177,Furniture,Bookcases,Delta Stationery,North,9,180.91,4.7,95.91,5,46,224,37,356,772847.52,delta@supplier.com
TEC-AC-10000178,Technology,Accessories,Delta Stationery,North,4,152.32,2.2,94.28,6,66,771,17,392,716513.28,delta@supplier.com
OFF-BI-10000179,Office Supplies,Binders,Beta Office Supplies,Central,6,467.18,3.8,82.75,10,85,345,16,35,196215.6,beta@supplier.com
TEC-MA-10000180,Technology,Machines,Beta Office Supplies,West,2,59.1,2.3,89.45,3,10,663,11,218,154605.6,beta@supplier.com
TEC-AC-10000181,Technology,Accessories,Delta Stationery,West,6,167.37,3.6,98.16,2,93,687,15,283,568388.52,delta@supplier.com
TEC-MA-10000182,Technology,Machines,Alpha Furnishings,West,8,442.3,1.7,98.39,7,73,290,48,456,2420265.6,alpha@supplier.com
OFF-PA-10000183,Office Supplies,Paper,Alpha Furnishings,North,3,464.94,2.3,89.09,9,77,605,9,445,2482779.6,alpha@supplier.com
TEC-AC-10000184,Technology,Accessories,Gamma Electronics,West,3,172.04,3.9,92.97,3,11,854,22,414,854694.72,gamma@supplier.com
OFF-BI-10000185,Office Supplies,Binders,Beta Office Supplies,Central,8,415.23,3.1,81.73,2,33,243,31,175,871983.0,beta@supplier.com
FUR-CH-10000186,Furniture,Chairs,Gamma Electronics,South,5,228.9,2.1,86.59,10,83,111,17,344,944899.2,gamma@supplier.com
OFF-BI-10000187,Office Supplies,Binders,Alpha Furnishings,East,9,160.34,2.6,90.05,5,98,220,41,479,921634.32,alpha@supplier.com
OFF-AR-10000188,Office Supplies,Art,Omega Imports,West,5,479.11,2.9,89.1,10,57,525,45,291,1673052.12,omega@supplier.com
OFF-BI-10000189,Office Supplies,Binders,Beta Office Supplies,Central,3,267.5,3.1,87.24,10,24,163,36,472,1515120.0,beta@supplier.com
TEC-PH-10000190,Technology,Phones,Omega Imports,Central,4,90.62,4.4,88.84,4,84,600,6,470,511096.8,omega@supplier.com
TEC-AC-10000191,Technology,Accessories,Alpha Furnishings,South,4,261.49,2.8,81.15,8,96,926,20,380,1192394.4,alpha@supplier.com
FUR-TA-10000192,Furniture,Tables,Gamma Electronics,East,5,293.37,1.2,86.89,2,79,161,5,488,1717974.72,gamma@supplier.com
OFF-PA-10000193,Office Supplies,Paper,Gamma Electronics,South,4,386.8,4.1,99.57,7,57,491,29,455,2111928.0,gamma@supplier.com
OFF-LA-10000194,Office Supplies,Labels,Alpha Furnishings,Central,4,330.23,2.4,83.57,9,60,641,9,382,1513774.32,alpha@supplier.com
